,MAC,SSID,Frequncy,Signal,Lat,Lon,Alt,TIME,Approx. w-center algo1,
27,1c:b9:c4:14:33:c8,Ariel_University,11,-90,32.10297254089722,35.208396315407825,693.4932026373573,03/12/2017 08:37,Approx. w-center algo1,
28,1c:b9:c4:96:28:f7, ,36,-92,32.10242248027882,35.20871363107448,704.2728646359667,03/12/2017 08:45,Approx. w-center algo1,
29,1c:b9:c4:96:f4:77, ,36,-89,32.10282121006391,35.20819917792264,693.7210746747174,03/12/2017 08:41,Approx. w-center algo1,
30,ec:8c:a2:88:94:17, ,44,-89,32.102973885553006,35.208283657250206,701.0755866204041,03/12/2017 08:50,Approx. w-center algo1,
31,00:8c:54:90:ce:d1,victoria,11,-89,32.10251744,35.20733873,695.5775666,03/12/2017 08:37,Approx. w-center algo1,
32,ec:8c:a2:08:78:c8,Ariel_University,6,-91,32.102925503975264,35.20843984336877,697.4356932876537,03/12/2017 08:54,Approx. w-center algo1,
33,06:ae:db:3a:64:05,BezeqFree,1,-84,32.10245839,35.20743113,694.8881938,03/12/2017 08:37,Approx. w-center algo1,
34,1c:b9:c4:14:33:cc,Ariel_University,48,-90,32.10256544594044,35.20866661804297,708.7241681397583,03/12/2017 08:46,Approx. w-center algo1,
35,14:ae:db:cb:05:f5,Mama,11,-90,32.10245839,35.20743113,694.8881938,03/12/2017 08:37,Approx. w-center algo1,
36,ec:9b:f3:26:ab:3a,SGH-I337M,6,-92,32.102809007719216,35.208211489317236,697.7819011534322,03/12/2017 08:37,Approx. w-center algo1,
37,80:37:73:d7:ab:3a,Hoom_2.4,1,-88,32.10246378,35.2075634,694.1299433,03/12/2017 08:37,Approx. w-center algo1,
38,ec:8c:a2:89:03:37, ,44,-85,32.103095709642695,35.20769665164133,691.9218910783717,03/12/2017 08:38,Approx. w-center algo1,
39,ec:8c:a2:09:03:3c,Ariel_University,44,-84,32.10310231762264,35.20769803698113,691.9064470784905,03/12/2017 08:38,Approx. w-center algo1,
40,1c:b9:c4:16:d2:8c,Ariel_University,44,-91,32.10303118040932,35.208881677981815,712.6180173504731,03/12/2017 08:45,Approx. w-center algo1,
41,14:ae:db:58:0d:6d,__ery,11,-91,32.10258799,35.20759021,693.1085203,03/12/2017 08:37,Approx. w-center algo1,
42,cc:fa:00:ae:93:46,bezek freeee,6,-86,32.1026346,35.20757686,692.0341048,03/12/2017 08:37,Approx. w-center algo1,
43,00:0e:f4:c1:50:14,vladimir,11,-92,32.1026346,35.20757686,692.0341048,03/12/2017 08:37,Approx. w-center algo1,
44,ec:8c:a2:08:a9:3c,Ariel_University,36,-90,32.102945224590165,35.20767327327869,691.0835484311475,03/12/2017 08:37,Approx. w-center algo1,
45,1c:b9:c4:16:28:f8,Ariel_University,6,-91,32.102750094538045,35.208768378198464,700.756786957972,03/12/2017 08:37,Approx. w-center algo1,
46,a4:08:f5:20:72:6a,HOTFiber-3C40,1,-87,32.10286151,35.2076292,691.1036072,03/12/2017 08:37,Approx. w-center algo1,
47,ec:8c:a2:08:77:48,Ariel_University,6,-88,32.10286151,35.2076292,691.1036072,03/12/2017 08:37,Approx. w-center algo1,
48,14:ae:db:cf:86:f5,Biren2809,11,-92,32.10314760878292,35.20814477323022,691.7941043278232,03/12/2017 08:41,Approx. w-center algo1,
49,1c:b9:c4:16:f4:78,Ariel_University,1,-88,32.1033546841149,35.209036303316196,701.2690189868418,03/12/2017 08:55,Approx. w-center algo1,
50,1c:b9:c4:96:d2:87, ,44,-89,32.1029743,35.20769755,690.9460551,03/12/2017 08:37,Approx. w-center algo1,
51,ec:8c:a2:09:93:b8,Ariel_University,11,-90,32.1029743,35.20769755,690.9460551,03/12/2017 08:37,Approx. w-center algo1,
52,ec:8c:a2:08:7a:1c,Ariel_University,44,-89,32.103496615386376,35.207792405326586,690.6301240373049,03/12/2017 08:37,Approx. w-center algo1,
53,ec:8c:a2:08:a9:28,Ariel_University,11,-90,32.10361868641025,35.207816711195406,690.5070725832499,03/12/2017 08:38,Approx. w-center algo1,
54,ec:8c:a2:09:0c:cc,Ariel_University,44,-88,32.103218918416296,35.207760400995475,690.8382411624433,03/12/2017 08:37,Approx. w-center algo1,
55,ec:8c:a2:08:78:3c,Ariel_University,40,-89,32.10317578,35.20775336,690.8658803,03/12/2017 08:37,Approx. w-center algo1,
56,ec:8c:a2:08:a9:2c,Ariel_University,44,-91,32.10376648205501,35.207831805206744,690.3776745990665,03/12/2017 08:37,Approx. w-center algo1,
57,ec:8c:a2:88:a9:27, ,44,-89,32.10377986680154,35.207818161627536,690.4231966181052,03/12/2017 08:38,Approx. w-center algo1,
58,ec:8c:a2:88:a9:37, ,36,-81,32.10325457,35.20776622,690.8153989,03/12/2017 08:37,Approx. w-center algo1,
59,ec:8c:a2:26:ae:28,Ariel_University,11,-88,32.10325457,35.20776622,690.8153989,03/12/2017 08:37,Approx. w-center algo1,
60,a0:4f:d4:46:a9:e1,richman,11,-92,32.10325457,35.20776622,690.8153989,03/12/2017 08:37,Approx. w-center algo1,
61,ec:8c:a2:88:7a:17, ,44,-87,32.10375939452498,35.2078243035797,690.4413487881285,03/12/2017 08:38,Approx. w-center algo1,
62,ec:8c:a2:08:7a:18,Ariel_University,1,-84,32.103777884259735,35.207825901211045,690.4274628271224,03/12/2017 08:38,Approx. w-center algo1,
63,ec:8c:a2:08:78:38,Ariel_University,1,-81,32.10332339,35.20778663,690.7687922,03/12/2017 08:37,Approx. w-center algo1,
64,ec:8c:a2:26:b0:58,Ariel_University,6,-84,32.10332339,35.20778663,690.7687922,03/12/2017 08:37,Approx. w-center algo1,
65,ec:8c:a2:88:78:37, ,40,-90,32.10332339,35.20778663,690.7687922,03/12/2017 08:37,Approx. w-center algo1,
66,ec:8c:a2:08:7b:8c,Ariel_University,40,-91,32.103679062175786,35.20782822476644,690.504226948267,03/12/2017 08:37,Approx. w-center algo1,
67,ec:8c:a2:09:86:d8,Ariel_University,6,-92,32.10332339,35.20778663,690.7687922,03/12/2017 08:37,Approx. w-center algo1,
68,ec:8c:a2:89:0c:c7, ,44,-86,32.10342051,35.20780553,690.6874449,03/12/2017 08:38,Approx. w-center algo1,
69,ec:8c:a2:09:0c:c8,Ariel_University,1,-86,32.10342051,35.20780553,690.6874449,03/12/2017 08:38,Approx. w-center algo1,
70,ec:8c:a2:88:7b:87, ,40,-89,32.10392177952859,35.20789536827361,690.2937519216672,03/12/2017 08:38,Approx. w-center algo1,
71,ec:8c:a2:08:90:cc,Ariel_University,36,-87,32.10342051,35.20780553,690.6874449,03/12/2017 08:38,Approx. w-center algo1,
72,ec:8c:a2:08:90:c8,Ariel_University,11,-89,32.10360081448697,35.207819530976074,690.5542770560943,03/12/2017 08:38,Approx. w-center algo1,
73,ec:8c:a2:09:8c:38,Ariel_University,1,-80,32.10353355,35.20781292,690.579513,03/12/2017 08:38,Approx. w-center algo1,
74,00:27:22:f3:bb:3a, ,6,-86,32.10353355,35.20781292,690.579513,03/12/2017 08:38,Approx. w-center algo1,
75,00:27:22:f3:bb:86, ,6,-87,32.10375725064331,35.20784015875796,690.4441102858599,03/12/2017 08:38,Approx. w-center algo1,
76,ec:8c:a2:09:8c:3c,Ariel_University,44,-88,32.10353355,35.20781292,690.579513,03/12/2017 08:38,Approx. w-center algo1,
77,ec:8c:a2:89:8c:37, ,44,-86,32.10371441,35.20782636,690.4758806,03/12/2017 08:38,Approx. w-center algo1,
78,ec:8c:a2:0a:08:b8,Ariel_University,6,-89,32.10371441,35.20782636,690.4758806,03/12/2017 08:38,Approx. w-center algo1,
79,ec:8c:a2:08:7b:88,Ariel_University,1,-77,32.10395116,35.20786377,690.3267398,03/12/2017 08:38,Approx. w-center algo1,
80,00:25:86:cc:07:b2,KCG_54,2,-87,32.104100165,35.208427924999995,703.2732683999999,03/12/2017 08:38,Approx. w-center algo1,
81,84:c9:b2:4a:e7:87,dlink,2,-86,32.10441405,35.20788087,689.9496965,03/12/2017 08:38,Approx. w-center algo1,
82,1c:b9:c4:16:cd:68,Ariel_University,11,-86,32.10441405,35.20788087,689.9496965,03/12/2017 08:38,Approx. w-center algo1,
83,00:1a:dd:f4:f5:c4, ,13,-93,32.105442656271165,35.20965046645703,688.9758318044288,03/12/2017 08:39,Approx. w-center algo1,
84,00:1a:dd:f4:f5:c5,Afikim_Wifi,13,-91,32.105139546852534,35.2090711198415,689.2440822061451,03/12/2017 08:38,Approx. w-center algo1,
85,ec:8c:a2:08:92:48,Ariel_University,6,-85,32.10461272,35.20792964,689.6670161,03/12/2017 08:38,Approx. w-center algo1,
86,ec:8c:a2:08:92:4c,Ariel_University,36,-88,32.10461272,35.20792964,689.6670161,03/12/2017 08:38,Approx. w-center algo1,
87,f0:b0:52:3e:d6:f8,Ariel_University,11,-86,32.10473074,35.20808402,689.6319853,03/12/2017 08:38,Approx. w-center algo1,
88,e6:46:da:e4:84:c0,Aviramf phone,6,-87,32.10473074,35.20808402,689.6319853,03/12/2017 08:38,Approx. w-center algo1,
89,00:27:22:f3:e0:83, ,1,-88,32.10473074,35.20808402,689.6319853,03/12/2017 08:38,Approx. w-center algo1,
90,ec:8c:a2:26:d2:c8,Ariel_University,11,-93,32.10463137338773,35.20888730480682,690.5715158626813,03/12/2017 08:38,Approx. w-center algo1,
91,1c:b9:c4:16:05:38,Ariel_University,11,-91,32.104352663982056,35.20915694136958,696.8380098860846,03/12/2017 08:38,Approx. w-center algo1,
92,00:1a:2f:7f:6b:70, ,13,-89,32.105403962630646,35.21002221836776,689.5201519177853,03/12/2017 08:38,Approx. w-center algo1,
93,b2:6c:ac:a0:7b:4d,magneto,11,-92,32.10548715576634,35.21001576743571,689.720047701767,03/12/2017 08:39,Approx. w-center algo1,
94,1c:b9:c4:15:44:58,Ariel_University,11,-93,32.10479743538817,35.21082823438391,694.2410407171465,03/12/2017 08:43,Approx. w-center algo1,
95,c2:6c:ac:a0:7b:4d,outsense,11,-91,32.10478355050784,35.209597572380225,700.2320977291567,03/12/2017 08:41,Approx. w-center algo1,
96,90:6c:ac:a0:7b:4d,EVE,11,-92,32.10532176358436,35.210082324636495,697.7501795144296,03/12/2017 08:45,Approx. w-center algo1,
97,1c:b9:c4:16:05:3c,Ariel_University,36,-91,32.10461735812513,35.20943759785426,695.5120296299328,03/12/2017 08:54,Approx. w-center algo1,
98,90:6c:ac:9f:fb:1f,Guest,1,-91,32.10525770535801,35.20998300804908,689.2163203797887,03/12/2017 08:45,Approx. w-center algo1,
99,d0:bf:9c:db:31:30,HP-Print-30-Officejet 7610,6,-91,32.105276545448596,35.21008355220749,689.4935731524342,03/12/2017 08:38,Approx. w-center algo1,
100,f8:e9:03:12:ef:3b,ShapeDo,6,-90,32.104772098926865,35.20959198230233,689.4143707177217,03/12/2017 08:38,Approx. w-center algo1,
101,a2:6c:ac:9f:fb:27,Neuropplied,36,-91,32.10489280452044,35.20928224929236,690.7444350477191,03/12/2017 08:38,Approx. w-center algo1,
102,90:6c:ac:9f:fb:27,Guest,36,-92,32.10489300750748,35.20928225112238,690.7435731246445,03/12/2017 08:38,Approx. w-center algo1,
103,b2:6c:ac:9f:fb:27,iagree,36,-92,32.10489300750748,35.20928225112238,690.7435731246445,03/12/2017 08:38,Approx. w-center algo1,
104,c2:6c:ac:9f:fb:27,shapedo,36,-92,32.10489300750748,35.20928225112238,690.7435731246445,03/12/2017 08:38,Approx. w-center algo1,
105,00:27:22:f3:e2:f3, ,6,-87,32.105924523066314,35.21055874940192,688.6737904388694,03/12/2017 08:39,Approx. w-center algo1,
106,00:27:22:f3:a6:9a, ,6,-87,32.10580184810194,35.21010479865621,688.5497027103218,03/12/2017 08:39,Approx. w-center algo1,
107,58:70:c6:00:d0:f1,YICarCam_00d0f1,6,-89,32.10577582622688,35.20997089823396,688.521735330273,03/12/2017 08:38,Approx. w-center algo1,
108,1c:b9:c4:16:06:e8,Ariel_University,11,-89,32.105842735116646,35.210210781833354,688.5965322302222,03/12/2017 08:38,Approx. w-center algo1,
109,08:97:58:32:a6:3e,NIPPON_2516,3,-73,32.10572051,35.20975997,688.5550301,03/12/2017 08:38,Approx. w-center algo1,
110,f8:a9:d0:66:06:4d,Orange G2_4113,6,-81,32.10572051,35.20975997,688.5550301,03/12/2017 08:38,Approx. w-center algo1,
111,b2:6c:ac:9f:fb:1f,iagree,1,-91,32.10473505056258,35.20976766943338,701.7426013491323,03/12/2017 08:45,Approx. w-center algo1,
112,1c:b9:c4:15:44:5c,Ariel_University,44,-91,32.10502559776039,35.210091497402466,703.8122263458256,03/12/2017 08:45,Approx. w-center algo1,
113,1c:b9:c4:15:42:6c,Ariel_University,48,-89,32.10538232772214,35.210379925162236,690.5953548629301,03/12/2017 08:38,Approx. w-center algo1,
114,00:1a:dd:f5:e9:25,Afikim-73925,1,-91,32.105402917045204,35.20993936259941,689.3753070298711,03/12/2017 08:41,Approx. w-center algo1,
115,1c:b9:c4:95:42:67, ,48,-90,32.105393535,35.21035938000001,690.5277389999999,03/12/2017 08:38,Approx. w-center algo1,
116,00:11:6b:2a:90:3c,Cartiheal,11,-92,32.10492080361653,35.20973323988146,703.1072222732037,03/12/2017 08:50,Approx. w-center algo1,
117,1c:b9:c4:14:2f:a8,Ariel_University,1,-90,32.10591114354393,35.21043701709937,688.6622483251579,03/12/2017 08:38,Approx. w-center algo1,
118,00:1a:dd:f5:e9:24,PEPWAVE_C99D,1,-90,32.10546046717561,35.21025745302323,689.4884991118435,03/12/2017 08:41,Approx. w-center algo1,
119,00:1a:dd:f4:ef:04,PEPWAVE_9481,1,-92,32.10596257203692,35.210551537293405,688.682501700329,03/12/2017 08:39,Approx. w-center algo1,
120,1c:b9:c4:15:42:68,Ariel_University,11,-92,32.10490059033083,35.210958043212706,705.5651465875792,03/12/2017 08:56,Approx. w-center algo1,
121,00:1a:dd:f5:06:a4, ,13,-83,32.10593532,35.21038077,688.6045855,03/12/2017 08:39,Approx. w-center algo1,
122,00:1a:dd:f5:06:a5,Afikim_Wifi,13,-84,32.10593532,35.21038077,688.6045855,03/12/2017 08:39,Approx. w-center algo1,
123,1c:b9:c4:16:06:ec,Ariel_University,44,-89,32.10604981348211,35.210919087792035,688.7622466136462,03/12/2017 08:39,Approx. w-center algo1,
124,00:1a:dd:f4:ef:c5,Afikim_Wifi,1,-81,32.10608928,35.21106968,688.7624378,03/12/2017 08:39,Approx. w-center algo1,
125,00:0d:f0:3e:fa:ca,Gateway,9,-87,32.10608928,35.21106968,688.7624378,03/12/2017 08:39,Approx. w-center algo1,
126,1c:b9:c4:96:06:e7, ,44,-90,32.106129980126084,35.21159973091318,689.0436342888271,03/12/2017 08:39,Approx. w-center algo1,
127,10:be:f5:36:02:e2,TOP-SECRET,8,-82,32.10614939,35.21138727,688.8993666,03/12/2017 08:39,Approx. w-center algo1,
128,00:1a:dd:f4:ef:c4, ,1,-87,32.10614939,35.21138727,688.8993666,03/12/2017 08:39,Approx. w-center algo1,
129,cc:b2:55:e7:7e:ba,Bezeq-NGN_E77EB9,6,-87,32.10618195,35.21168764,689.1981253,03/12/2017 08:39,Approx. w-center algo1,
130,00:1a:dd:f4:fc:84, ,8,-77,32.10621149,35.21194839,689.2763253,03/12/2017 08:39,Approx. w-center algo1,
131,00:1a:dd:f4:fc:85,Afikim_Wifi,8,-78,32.10621149,35.21194839,689.2763253,03/12/2017 08:39,Approx. w-center algo1,
132,f8:e7:1e:33:87:38,Police_Shomron ,1,-86,32.10621149,35.21194839,689.2763253,03/12/2017 08:39,Approx. w-center algo1,
133,00:1a:dd:f4:fc:64, ,1,-87,32.10621149,35.21194839,689.2763253,03/12/2017 08:39,Approx. w-center algo1,
134,00:1a:dd:f4:fc:65,Afikim_Wifi,1,-90,32.10621149,35.21194839,689.2763253,03/12/2017 08:39,Approx. w-center algo1,
135,1c:b9:c4:16:cd:18,IT-MNG,1,-88,32.105760147954975,35.2120639949368,690.4608693475203,03/12/2017 08:39,Approx. w-center algo1,
136,00:27:19:13:fc:a4,KCG_20,11,-91,32.105200955111236,35.21181344661473,694.5187617133271,03/12/2017 08:47,Approx. w-center algo1,
137,1c:b9:c4:56:cd:18,Ariel_University,1,-90,32.1057557162295,35.21206208836065,690.4771826721311,03/12/2017 08:39,Approx. w-center algo1,
138,f8:e7:1e:33:87:3c,Police_Shomron ,36,-86,32.10578181,35.21207188,690.5323471,03/12/2017 08:39,Approx. w-center algo1,
139,1c:b9:c4:15:fd:e8,IT-MNG,11,-89,32.10534576371486,35.211693099540014,691.3431389219876,03/12/2017 08:44,Approx. w-center algo1,
140,1c:b9:c4:16:cd:1c,Ariel_University,36,-88,32.10578181,35.21207188,690.5323471,03/12/2017 08:39,Approx. w-center algo1,
141,1c:b9:c4:55:fd:e8,Ariel_University,11,-91,32.105108751068954,35.21131187924018,700.3341362760717,03/12/2017 08:44,Approx. w-center algo1,
142,1c:b9:c4:15:fd:ec,Ariel_University,40,-83,32.105337115983424,35.211859884756414,691.9964341015791,03/12/2017 08:39,Approx. w-center algo1,
143,1c:b9:c4:15:3a:28,Ariel_University,1,-87,32.10544864,35.21192983,691.5885471,03/12/2017 08:39,Approx. w-center algo1,
144,1c:b9:c4:15:36:9c,Ariel_University,36,-88,32.10519175807336,35.21121997029554,703.6200349461581,03/12/2017 08:39,Approx. w-center algo1,
145,1c:b9:c4:96:cd:17, ,36,-89,32.10544864,35.21192983,691.5885471,03/12/2017 08:39,Approx. w-center algo1,
146,1c:b9:c4:15:36:98,Ariel_University,1,-91,32.10515114619666,35.211164575420334,700.3504652654074,03/12/2017 08:40,Approx. w-center algo1,
147,1c:b9:c4:15:3a:2c,Ariel_University,36,-92,32.10533815,35.21187488,692.0554072,03/12/2017 08:39,Approx. w-center algo1,
148,24:79:2a:2b:34:a8,Ariel_University,11,-92,32.10533815,35.21187488,692.0554072,03/12/2017 08:39,Approx. w-center algo1,
149,1c:b9:c4:16:05:78,Ariel_University,6,-92,32.10491803031489,35.21103961314832,704.3537680331611,03/12/2017 08:39,Approx. w-center algo1,
150,1c:b9:c4:16:2b:e8,Ariel_University,6,-92,32.104942330944944,35.211166932300834,691.0944200082624,03/12/2017 08:39,Approx. w-center algo1,
151,8c:0c:90:af:76:53, ,6,-90,32.10521012,35.21178481,692.3377116,03/12/2017 08:39,Approx. w-center algo1,
152,24:79:2a:2b:34:e8,Ariel_University,1,-91,32.10507123321165,35.21145722437702,693.5785828160674,03/12/2017 08:40,Approx. w-center algo1,
153,1c:b9:c4:15:44:88,Ariel_University,6,-91,32.104903525607845,35.21058150989972,699.0771993185289,03/12/2017 08:40,Approx. w-center algo1,
154,1c:b9:c4:15:ed:48,Ariel_University,1,-92,32.10473130083063,35.21090544959573,690.0217381673775,03/12/2017 08:49,Approx. w-center algo1,
155,8c:0c:90:2f:d3:d8,Ariel_University,11,-90,32.1045024285241,35.210956329466455,695.2145993485882,03/12/2017 08:40,Approx. w-center algo1,
156,ec:8c:a2:08:79:a8,Ariel_University,6,-82,32.104697508081955,35.210758098622094,693.5155460323649,03/12/2017 08:40,Approx. w-center algo1,
157,1c:b9:c4:95:ed:47, ,44,-87,32.10490612,35.21135241,691.7266026,03/12/2017 08:40,Approx. w-center algo1,
158,1c:b9:c4:15:ed:4c,Ariel_University,44,-88,32.10486748500001,35.21138014500001,690.8633012999999,03/12/2017 08:40,Approx. w-center algo1,
159,ec:8c:a2:08:79:88,Ariel_University,1,-92,32.10493454843041,35.210993686209285,688.9904963231984,03/12/2017 08:45,Approx. w-center algo1,
160,ec:8c:a2:08:79:ac,Ariel_University,36,-89,32.10491909813486,35.21130154991275,693.8682117075947,03/12/2017 08:40,Approx. w-center algo1,
161,1c:b9:c4:14:36:f8,Ariel_University,6,-90,32.104519883706345,35.2112795713649,694.6482809992879,03/12/2017 08:40,Approx. w-center algo1,
162,1c:b9:c4:16:05:7c,Ariel_University,36,-91,32.10488298310085,35.21100617822539,705.6254890731458,03/12/2017 08:40,Approx. w-center algo1,
163,1c:b9:c4:14:2b:c8,Ariel_University,6,-88,32.10487320044529,35.211012661912704,691.5611840341276,03/12/2017 08:43,Approx. w-center algo1,
164,1c:b9:c4:14:2b:cc,Ariel_University,36,-87,32.10504392892759,35.21106960666896,702.0456994850213,03/12/2017 08:40,Approx. w-center algo1,
165,1c:b9:c4:15:41:78,Ariel_University,1,-89,32.10461618975196,35.2104140456602,702.279934773441,03/12/2017 08:45,Approx. w-center algo1,
166,1c:b9:c4:94:2b:c7, ,36,-90,32.105027131769916,35.21103245132743,700.7822284442477,03/12/2017 08:40,Approx. w-center algo1,
167,1c:b9:c4:95:44:87, ,36,-91,32.10475063327358,35.211229991825604,699.6870731030043,03/12/2017 08:40,Approx. w-center algo1,
168,1c:b9:c4:15:44:8c,Ariel_University,36,-92,32.10473150533026,35.211193916361886,695.551073842294,03/12/2017 08:40,Approx. w-center algo1,
169,1c:b9:c4:94:30:07, ,36,-84,32.10506215,35.21071549,692.6868607,03/12/2017 08:40,Approx. w-center algo1,
170,1c:b9:c4:14:30:0c,Ariel_University,36,-85,32.10506215,35.21071549,692.6868607,03/12/2017 08:40,Approx. w-center algo1,
171,1c:b9:c4:14:30:08,Ariel_University,1,-90,32.105011147645655,35.21068038217124,697.547560681101,03/12/2017 08:44,Approx. w-center algo1,
172,1c:b9:c4:16:2d:e8,Ariel_University,11,-92,32.10503132732548,35.21076869997603,718.8313950282753,03/12/2017 08:53,Approx. w-center algo1,
173,ac:83:f3:b2:00:e9,SAMSONIX R500-e-09,1,-84,32.10500248,35.21047226,692.7188464,03/12/2017 08:40,Approx. w-center algo1,
174,1c:b9:c4:15:25:48,Ariel_University,1,-89,32.104843908797164,35.21052012138197,704.0622991638647,03/12/2017 08:47,Approx. w-center algo1,
175,1c:b9:c4:95:44:57, ,44,-89,32.10500097134948,35.210474774417534,710.7476613560386,03/12/2017 08:40,Approx. w-center algo1,
176,00:11:6b:11:7d:c7,yosh,13,-92,32.104703578048465,35.21018517081552,701.7883626515556,03/12/2017 08:50,Approx. w-center algo1,
177,38:a2:8c:02:e7:6e,SAMSONIX ML_003,6,-91,32.10500248,35.21047226,692.7188464,03/12/2017 08:40,Approx. w-center algo1,
178,1c:b9:c4:16:2d:ec,Ariel_University,36,-85,32.10493192,35.21025667,692.7030959,03/12/2017 08:40,Approx. w-center algo1,
179,1c:b9:c4:15:20:38,Ariel_University,11,-89,32.10481947553551,35.21014193390533,697.8852428282809,03/12/2017 08:45,Approx. w-center algo1,
180,1c:b9:c4:96:2d:e7, ,36,-89,32.10492987690615,35.21027043681567,708.8736268895207,03/12/2017 08:40,Approx. w-center algo1,
181,c2:6c:ac:9f:fb:1f,shapedo,1,-91,32.104476811377,35.20966976828942,690.2290859602898,03/12/2017 08:40,Approx. w-center algo1,
182,1c:b9:c4:15:34:b8,Ariel_University,6,-92,32.10493192,35.21025667,692.7030959,03/12/2017 08:40,Approx. w-center algo1,
183,c4:12:f5:fd:6a:74,mati-sh1,9,-85,32.10483384,35.21004948,692.7415285,03/12/2017 08:40,Approx. w-center algo1,
184,a2:6c:ac:a0:3d:eb,giftwizard,3,-92,32.10483079420748,35.210247332381215,697.2038644372979,03/12/2017 08:49,Approx. w-center algo1,
185,a2:6c:ac:9f:fb:1f,Neuropplied,1,-89,32.10470345772495,35.20992677887299,697.5095333678156,03/12/2017 08:40,Approx. w-center algo1,
186,90:6c:ac:a0:3d:eb,Guest,3,-89,32.104585231849775,35.209732559668126,699.1356199768566,03/12/2017 08:40,Approx. w-center algo1,
187,8c:0c:90:2f:36:58,Ariel_University,1,-89,32.10475609588094,35.20996993102033,699.1416431451048,03/12/2017 08:40,Approx. w-center algo1,
188,a2:6c:ac:a0:7b:4d,Guest,11,-85,32.104334217502576,35.209489059276244,689.4419453863277,03/12/2017 08:50,Approx. w-center algo1,
